edges,d1,d2
35600,66505,43203
35700,86202,76363
35800,80004,71378
35900,85830,65080
36000,82105,70897
36100,85255,68996
36200,90357,71164
36300,89408,72236
36400,90560,75232
36500,99671,65489
36600,88527,62650
36700,92944,66666
36800,88111,66504
36900,135402,95368
37000,163413,124519
37100,163142,120170
37200,147759,112891
37300,157224,120976
37400,128946,101253
37500,124638,92431
37600,150058,107500
37700,113376,91368
37800,91832,74252
37900,88387,80023
38000,85693,80839
38100,78778,66944
38200,80304,59191
38300,83260,64318
38400,78099,65513
38500,83642,62583
38600,78329,65614
38700,86427,64608
38800,83284,67407
38900,83600,66796
39000,81418,71766
39100,83205,66145
39200,85017,64887
39300,81114,71346
39400,84766,68385
39500,81558,66495
39600,78080,60999
39700,77369,56711
39800,79767,55912
39900,80870,64945
40000,79471,59257
40100,80418,63171
40200,85397,57443
40300,78940,54298
40400,79959,56949
40500,81658,59029
40600,83266,62513
40700,78808,61034
40800,80797,64112
40900,79117,59340
41000,76733,63135
41100,78141,61739
41200,86453,58743
41300,81391,66201
41400,79232,57616
41500,82497,61022
41600,85245,68383
41700,79604,62800
41800,79035,61215
41900,81396,61514
42000,80393,60638
42100,79642,60422
42200,76027,62052
42300,78606,58368
42400,82396,62367
42500,78778,60595
42600,78673,59627
42700,80539,60809
42800,78775,57232
42900,77338,64774
43000,77824,57342
43100,79158,68403
43200,77389,57030
43300,82854,61626
43400,78175,60833
43500,76671,64457
43600,86860,63949
43700,80990,60846
43800,76681,62673
43900,77359,55032
44000,85503,64746
44100,77862,64410
44200,77738,61746
44300,80643,61503
44400,80021,66289
44500,76941,61988
44600,76960,64763
44700,78759,61559
44800,77113,62928
44900,82826,62209
45000,79786,62176
45100,77551,63592
45200,80937,67524
45300,79868,65400
45400,76702,63458
45500,85578,69348
45600,82286,68377
45700,81317,72068
45800,92757,75735
45900,82289,74691
46000,84741,75789
46100,96376,71706
46200,86696,70894
46300,113376,99647
46400,142425,118422
46500,141055,114188
46600,134742,110040
46700,150514,129343
46800,123144,103169
46900,119963,99468
47000,147033,121221
47100,155201,127015
47200,121548,104456
47300,120990,105649
47400,99172,85328
47500,86315,78554
47600,91078,77021
47700,90821,74277
47800,85918,76930
47900,90596,71087
48000,85793,76923
48100,86928,80563
48200,90910,81440
48300,98737,79229
48400,89361,71879
48500,88938,79686
48600,90341,78452
48700,91218,78846
48800,93883,81537
48900,88726,80968
49000,84962,66057
49100,89880,73344
49200,91561,72509
49300,88116,77556
49400,92847,72137
49500,82802,70209
49600,79780,70217
49700,80366,63369
49800,81283,70535
49900,78503,62319
50000,76568,66283
50100,80218,60922
50200,78114,65387
50300,80916,67683
50400,78517,68276
50500,81126,66665
50600,82875,63491
50700,80239,65608
50800,82481,67210
50900,75580,61447
51000,79753,66942
51100,79776,64389
51200,77281,62293
51300,79899,65930
51400,79024,63321
51500,76426,62887
51600,82813,67026
51700,76350,63309
51800,83868,66471
51900,77375,66005
52000,77127,66275
52100,76134,61475
52200,80005,68106
52300,79239,65862
52400,77475,63756
52500,84256,68187
52600,79274,66068
52700,80700,66942
52800,78816,64128
52900,76573,68142
53000,75899,66628
53100,76871,67206
53200,80905,70930
53300,80623,63993
53400,80735,59926
53500,77860,66147
53600,78798,62415
53700,83465,66009
53800,76999,63095
53900,76688,64740
54000,82410,66155
54100,78985,65959
54200,80855,65971
54300,82025,65764
54400,77905,69258
54500,80257,69344
54600,76508,66822
54700,80909,67654
54800,84028,68282
54900,84864,63086
55000,78451,63894
55100,80344,69354
55200,80504,67124
55300,79081,73955
55400,75470,65665
55500,78569,69082
55600,81040,65735
55700,84687,62998
55800,81455,68019
55900,83392,65712
56000,80269,64689
56100,80951,66647
56200,80244,68175
56300,85178,73490
56400,77719,66928
56500,81024,73223
56600,79764,64892
56700,82147,64717
56800,80816,68145
56900,80018,66065
57000,77454,65725
57100,79916,70138
57200,77188,66591
57300,78333,62088
57400,80264,69939
57500,78926,65012
57600,78877,65884
57700,80909,68090
57800,77612,72254
57900,81810,71658
58000,81331,68936
58100,78608,71154
58200,82719,67936
58300,81571,72814
58400,80659,72291
58500,81606,71657
58600,80568,70460
58700,74537,72170
58800,77022,62982
58900,72604,63478
59000,73126,66732
59100,74982,64290
59200,73659,66244
59300,73159,61795
59400,75062,64270
59500,76056,61988
59600,76057,66125
59700,76402,60472
59800,72289,62290
59900,73180,58998
60000,79898,65309
60100,75478,62432
60200,70876,63070
60300,74244,61800
60400,74642,61469
60500,83293,70070
60600,73861,60124
60700,71274,63204
60800,74923,63484
60900,71564,60021
61000,69707,57134
61100,69910,55270
61200,72655,59411
61300,71973,55673
61400,71555,56962
61500,67676,52762
61600,69717,52875
61700,71333,56148
61800,69727,52576
61900,66159,54178
62000,65339,49346
62100,67865,55742
62200,67440,51164
62300,63462,53920
62400,64245,51313
62500,65794,54400
62600,70717,58509
62700,69256,55469
62800,60044,55566
62900,64052,49123
63000,62297,51715
63100,61481,48886
63200,57877,54337
63300,60790,50221
63400,64361,48868
63500,61779,53093
63600,56873,49950
63700,63812,52455
63800,61101,48398
63900,62767,49489
64000,62016,49098
64100,62611,48844
64200,64362,50297
64300,60240,48898
64400,58692,50837
64500,60689,50847
64600,63667,49104
64700,60986,48671
64800,61917,49026
64900,63439,45284
65000,57999,50076
65100,59078,46050
65200,63884,45101
65300,61765,48168
65400,62058,51996
65500,64601,45957
65600,62335,46755
65700,64535,45131
65800,64995,46522
65900,65065,47246
66000,63191,46381
66100,63428,49340
66200,66541,47449
66300,41842,54450
66400,35771,56877
66500,33283,52835
66600,35527,53290
66700,32711,53935
66800,34793,55797
66900,31593,54451
67000,31877,55611
67100,31873,53279
67200,30076,56579
67300,36045,58651
67400,35279,54057
67500,35177,53312
